,RunId,iteration,Step,width,height,initial_population,initial_population_bt,vento,Lagarta Saudavel,Lagarta Infectada,Bacteria
0,0,0,30,50,50,100,0,0,100,0,0
1,1,0,30,50,50,100,0,1,100,0,0
2,2,0,30,50,50,100,0,2,100,0,0
3,3,0,30,50,50,100,0,3,100,0,0
4,4,0,30,50,50,100,0,4,100,0,0
5,5,0,30,50,50,100,0,5,100,0,0
6,6,0,30,50,50,100,50,0,0,0,0
7,7,0,30,50,50,100,50,1,1,0,0
8,8,0,30,50,50,100,50,2,1,0,0
9,9,0,30,50,50,100,50,3,0,0,0
10,10,0,30,50,50,100,50,4,0,0,0
11,11,0,30,50,50,100,50,5,1,0,0
12,12,0,30,50,50,100,100,0,0,0,0
13,13,0,30,50,50,100,100,1,0,0,0
14,14,0,30,50,50,100,100,2,0,0,0
15,15,0,30,50,50,100,100,3,0,0,0
16,16,0,30,50,50,100,100,4,0,0,0
17,17,0,30,50,50,100,100,5,0,0,0
18,18,0,30,50,50,100,150,0,0,0,0
19,19,0,30,50,50,100,150,1,0,0,0
20,20,0,30,50,50,100,150,2,0,0,0
21,21,0,30,50,50,100,150,3,0,0,0
22,22,0,30,50,50,100,150,4,0,0,0
23,23,0,30,50,50,100,150,5,1,0,0
24,24,0,30,50,50,100,200,0,0,0,0
25,25,0,30,50,50,100,200,1,1,0,0
26,26,0,30,50,50,100,200,2,0,0,0
27,27,0,30,50,50,100,200,3,0,0,0
28,28,0,30,50,50,100,200,4,0,0,0
29,29,0,30,50,50,100,200,5,0,0,0
30,30,1,30,50,50,100,0,0,100,0,0
31,31,1,30,50,50,100,0,1,100,0,0
32,32,1,30,50,50,100,0,2,100,0,0
33,33,1,30,50,50,100,0,3,100,0,0
34,34,1,30,50,50,100,0,4,100,0,0
35,35,1,30,50,50,100,0,5,100,0,0
36,36,1,30,50,50,100,50,0,0,0,0
37,37,1,30,50,50,100,50,1,0,0,0
38,38,1,30,50,50,100,50,2,0,0,0
39,39,1,30,50,50,100,50,3,0,0,0
40,40,1,30,50,50,100,50,4,0,0,0
41,41,1,30,50,50,100,50,5,2,0,0
42,42,1,30,50,50,100,100,0,1,0,0
43,43,1,30,50,50,100,100,1,0,0,0
44,44,1,30,50,50,100,100,2,0,0,0
45,45,1,30,50,50,100,100,3,0,0,0
46,46,1,30,50,50,100,100,4,0,0,0
47,47,1,30,50,50,100,100,5,0,0,0
48,48,1,30,50,50,100,150,0,0,0,0
49,49,1,30,50,50,100,150,1,0,0,0
50,50,1,30,50,50,100,150,2,0,0,0
51,51,1,30,50,50,100,150,3,2,0,0
52,52,1,30,50,50,100,150,4,0,0,0
53,53,1,30,50,50,100,150,5,1,0,0
54,54,1,30,50,50,100,200,0,0,0,0
55,55,1,30,50,50,100,200,1,0,0,0
56,56,1,30,50,50,100,200,2,0,0,0
57,57,1,30,50,50,100,200,3,0,0,0
58,58,1,30,50,50,100,200,4,0,0,0
59,59,1,30,50,50,100,200,5,0,0,0
60,60,2,30,50,50,100,0,0,100,0,0
61,61,2,30,50,50,100,0,1,100,0,0
62,62,2,30,50,50,100,0,2,100,0,0
63,63,2,30,50,50,100,0,3,100,0,0
64,64,2,30,50,50,100,0,4,100,0,0
65,65,2,30,50,50,100,0,5,100,0,0
66,66,2,30,50,50,100,50,0,0,0,0
67,67,2,30,50,50,100,50,1,0,0,0
68,68,2,30,50,50,100,50,2,0,0,0
69,69,2,30,50,50,100,50,3,0,0,0
70,70,2,30,50,50,100,50,4,0,0,0
71,71,2,30,50,50,100,50,5,1,0,0
72,72,2,30,50,50,100,100,0,0,0,0
73,73,2,30,50,50,100,100,1,0,0,0
74,74,2,30,50,50,100,100,2,0,0,0
75,75,2,30,50,50,100,100,3,0,0,0
76,76,2,30,50,50,100,100,4,0,0,0
77,77,2,30,50,50,100,100,5,0,0,0
78,78,2,30,50,50,100,150,0,0,0,0
79,79,2,30,50,50,100,150,1,0,0,0
80,80,2,30,50,50,100,150,2,0,0,0
81,81,2,30,50,50,100,150,3,0,0,0
82,82,2,30,50,50,100,150,4,0,0,0
83,83,2,30,50,50,100,150,5,0,0,0
84,84,2,30,50,50,100,200,0,0,0,0
85,85,2,30,50,50,100,200,1,0,0,0
86,86,2,30,50,50,100,200,2,0,0,0
87,87,2,30,50,50,100,200,3,0,0,0
88,88,2,30,50,50,100,200,4,0,0,0
89,89,2,30,50,50,100,200,5,0,0,0
90,90,3,30,50,50,100,0,0,100,0,0
91,91,3,30,50,50,100,0,1,100,0,0
92,92,3,30,50,50,100,0,2,100,0,0
93,93,3,30,50,50,100,0,3,100,0,0
94,94,3,30,50,50,100,0,4,100,0,0
95,95,3,30,50,50,100,0,5,100,0,0
96,96,3,30,50,50,100,50,0,0,0,0
97,97,3,30,50,50,100,50,1,5,0,0
98,98,3,30,50,50,100,50,2,0,0,0
99,99,3,30,50,50,100,50,3,0,0,0
100,100,3,30,50,50,100,50,4,0,0,0
101,101,3,30,50,50,100,50,5,0,0,0
102,102,3,30,50,50,100,100,0,0,0,0
103,103,3,30,50,50,100,100,1,1,0,0
104,104,3,30,50,50,100,100,2,0,0,0
105,105,3,30,50,50,100,100,3,0,0,0
106,106,3,30,50,50,100,100,4,2,0,0
107,107,3,30,50,50,100,100,5,0,0,0
108,108,3,30,50,50,100,150,0,0,0,0
109,109,3,30,50,50,100,150,1,0,0,0
110,110,3,30,50,50,100,150,2,1,0,0
111,111,3,30,50,50,100,150,3,0,0,0
112,112,3,30,50,50,100,150,4,1,0,0
